Inverter All History Report_21/01/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,21/01/2023 04:35:42 (UTC-4:00),Normal, ,98.7,0.1,10,98.8,0.1,10,98.7,0.1,10,12.0,0.1,0,221.9,2.6,20.000,59.980,0.000,831.000,831.000,20213.000,26.1, ,0.00,0.000,0.000,0.000, 
2,21/01/2023 04:40:44 (UTC-4:00),Normal, ,281.1,0.1,28,272.8,0.1,27,281.4,0.1,28,10.9,0.1,0,220.1,2.6,20.000,59.990,0.000,831.000,831.000,20213.000,26.7, ,0.00,0.000,0.000,0.000, 
3,21/01/2023 04:45:45 (UTC-4:00),Normal, ,359.2,0.1,36,272.9,0.1,27,359.1,0.1,36,14.6,0.1,0,220.3,2.6,20.000,59.990,0.000,831.000,831.000,20213.000,27.3, ,0.00,0.000,0.000,0.000, 
4,21/01/2023 04:50:50 (UTC-4:00),Normal, ,291.1,0.1,29,272.9,0.1,27,291.0,0.1,29,12.1,0.1,0,220.6,2.6,20.000,60.020,0.000,831.000,831.000,20213.000,27.8, ,0.00,0.000,0.000,0.000, 
5,21/01/2023 04:55:55 (UTC-4:00),Normal, ,294.3,0.1,29,273.0,0.1,27,294.2,0.1,29,12.8,0.1,0,220.5,2.5,20.000,60.010,0.000,831.000,831.000,20213.000,28.3, ,0.00,0.000,0.000,0.000, 
