Inverter History Report_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020041,,,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045966636,,,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,Report generation time:20231125025255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner's cell phone number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Voltage V(V),AC Voltage W(V),AC Current U(A),AC Current V(A),AC Current W(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,27/12/2022 04:41:53 (UTC-4:00),Normal, ,107.9,0.1,11,113.0,0.1,11,108.2,0.1,11,0.0,0.1,0,220.5,0.0,0.0,0.2,0.0,0.0,20.000,60.000,0.000,1086.000,13384.000,17762.000,25.4, ,0.00,0.000,0.000,0.000,0
2,27/12/2022 04:46:53 (UTC-4:00),Normal, ,98.2,0.1,10,99.2,0.1,10,93.1,0.1,9,3.7,0.1,0,220.3,0.0,0.0,0.2,0.0,0.0,20.000,60.020,0.000,1086.000,13384.000,17762.000,25.5, ,0.00,0.000,0.000,0.000,0
3,27/12/2022 04:51:53 (UTC-4:00),Normal, ,274.5,0.1,27,248.4,0.1,25,247.6,0.1,25,13.4,0.1,0,220.0,0.0,0.0,2.5,0.0,0.0,20.000,59.990,0.000,1086.000,13384.000,17762.000,25.6, ,0.00,0.000,0.000,0.000,0
